#Espèce 
Aizoanthemum hispanicum
Arthrocnemum macrostachyum 
Atriplex halimus 
Chenopodium album 
Salsola kali 
Sarcocornia fruticosa 
Daucus carota 
Eryngium campestre 
Torilis nodosa 
Anthemis pedunculata 
Atractylis cancellata 
Calendula arvensis 
Calendula suffruticosa 
Carduus pycnocephalus
Carlina gummifera 
Carthamus lanatus
Centaurea involucrata 
Centaurea pubescens
Cichorium intybus 
Crepis vesicaria
Filago germanica
Launaea nudicaulis
Onopordon arenarium
Rhagadiolus stellatus
Silybum marianum
Taraxacum obovatum
Xanthium spinosum
Cynoglossum cheirifolium
Diplotaxis erucoides
Eruca vesicaria
Moricandia arvensis
Herniaria cinerea
Paronychia argentea
Silene gallica
Spergularia diandra
Helianthemum apenninum
Sedum rubens
Bolboschoenus glaucus
Carex pendula 
Cyperus laevigatus
Cyperus longus
Eleocharis palustris
Lotus creticus
Medicago laciniata
Medicago minima
Medicago orbicularis
Medicago sativa
Frankenia pulverulenta
Erodium malacoides
Heliotropium supinum
Juncus acutus
Marrubium alysson
Marrubium supinum 
Teucrium polium
Malva neglecta
Malva sylvestris
Plantago albicans
Plantago atlantica Batt.
Plantago coronopus
Plantago lagopus
Plantago maritima
Avena sterilis
Brachypodium retusum
Bromus lanceolatus 
Cynodon dactylon
Dactylis glomerata
Echinaria capitata
Hordeum marinum Huds.
Hordeum murinum L.
Lolium rigidum
Phalaris aquatica
Phragmites australis
Polypogon monspeliensis
Polygonum aviculare
Rumex conglomeratus Murray
Rumex tuberosus
Adonis annua
Reseda alba
Ziziphus lotus
Fagonia glutinosa Delile
Globularia alypum
Cistanche phelypaea
Salicornia fruticosa
Suaeda fruticosa
Suaeda vera
Peganum harmala
Thymelea hirsuta
Thymus hirtus
Hieraaetus pennatus
Aquila fasciata
Aquila chrysaetos
Circus aeruginosus
Circus cyaneu
Buteo rufinus
Buteo buteo
Circaetus gallicus
Milvus milvus
Milvus migrans
Elanus caeruleus
Neophron percnopterus
Mareca strepera
Anas platyrhynchos
Anas acuta
Mareca Penelope
Spatula clypeata
Aythya farina
Aythya fuligula
Anas crecca
Marmaronetta angustirostris
Tadorna ferruginea
Tadorna tadorna
Aythya nyroca
Oxyura leucocephala
Egretta garzetta
Nycticorax nycticorax
Ardeola ralloides
Ardea alba
Ardea cinerea
Bubulcus ibis
Ardea purpurea
Burhinus oedicnemus
Ciconia ciconia
Ciconia nigra
Corvus corax
Charadrius hiaticula
Charadrius alexandrinus
Charadrius dubius
Pluvialis squatarola
Pluvialis apricaria
Vanellus vanellus
Thalasseus sandvicensis
Falco tinnunculus
Falco naumanni
Falco subbuteo
Falco peregrinus
Falco biarmicus
Grus grus
Motacilla alba
Motacilla flava
Anthus pratensis
Phoenicurus ochruros
Saxicola rubicola
Luscinia svecica
Phylloscopus sibilatrix
Lanius excubitor
Sturnus vulgaris
Galerida cristata
Columba livia
Larus michahellis
Chroicocephalus genei
Chroicocephalus ridibundus
Gelochelidon nilotica
Sternula albifrons
Calidris ferruginea
Calidris minuta
Calidris temminckii
Calidris alpina
Gallinago gallinago
Tringa ochropus
Tringa nebularia
Tringa erythropus
Tringa tetanus
Actitis hypoleucos
Tringa glareola
Calidris pugnax
Numenius arquata
Numenius phaeopus
Limosa limosa
Athene noctua
Fulica atra
Gallinula chloropus
Porzana parva
Rallus aquaticus
Porphyrio porphyrio
Recurvirostra avosetta
Himantopus himantopus
Phoenicopterus roseus
Phalacrocorax carbo
Podiceps nigricollis
Tachybaptus ruficollis
Podiceps cristatus
Plegadis falcinellus
Platalea leucorodia
Apus pallidus
Anax imperator
Reseda luteola
Helix melanostoma
Juncus rigidus
Streptopelia decaocto
Ochthebius marinus
Hydroglyphus geminus
Sturnus unicolor
Passer domesticus
Aphanius apodus
Triticum turgidum
Astragalus armatus
Asphodelus fistulosus
Euphorbia helioscopia
Hirundo rustica
Medicago polymorpha
Olea europaea
Oenanthe oenanthe
Alauda arvensis
Oenanthe hispanica
Falco columbarius
Jaculus orientalis
Hyaena hyaena
Vulpes vulpes
Canis lupaster
Atelerix algirus
Lepus sp
Rattus rattus
Genetta Genetta
Sus scrofa
Rhinolophus ferrumequinum
Myotis punicus
Bufotes boulengeri
Sclerophrys mauritanica
Pelophylax saharicus
Mauremys leprosa
Trogonophis wiegmanni
Agama bibronii
Chamaeleo chamaeleon
Tarentola mauritanica
Acanthodactylus bedriagai
Ophisops occidentalis
Psammodromus algirus
Timon pater
Chalcides ocellatus
Malpolon insignitus
Hemorrhois hippocrepis
Macroprotodon mauritanicus
Natrix maura
Daboia mauritanica
